calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,feel_1,feel_1_pct,feel_2,feel_2_pct,feel_3,feel_3_pct,feel_4,feel_4_pct,feel_5,feel_5_pct,grow_all,help_1,help_1_pct,help_2,help_2_pct,help_3,help_3_pct,help_4,help_4_pct,help_5,help_5_pct,n_rate_rvws,n_reported_effects,neg_1,neg_1_pct,neg_2,neg_2_pct,neg_3,neg_3_pct,neg_4,neg_4_pct,neg_5,neg_5_pct,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:80.34336568793182%,,,,"57,%,53,%,50,%,47,%,38,%,39,%,30,%,29,%,27,%,19,%,32,%,28,%,10,%,8,%,7,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Focused, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Happy,57,Euphoric,53,Uplifted,50,Relaxed,47,Focused,38,,Stress,39,Anxiety,30,Pain,29,Depression,27,Fatigue,19,148,110 people reported 845 effects,Dry mouth,32,Dry eyes,28,Dizzy,10,Paranoid,8,Headache,7,Green Crack,Blue Dream,"Clarkston, WA",Hybrid,4.1 ,Blue Crack,,,,18
--position:14.88929202063622%,,,,"100,%,76,%,73,%,46,%,42,%,46,%,42,%,42,%,38,%,34,%,34,%,11,%,7,%,7,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Hungry, ,Pain, ,Insomnia, ,Stress, ,Headaches, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",Relaxed,100,Happy,76,Euphoric,73,Uplifted,46,Hungry,42,,Pain,46,Insomnia,42,Stress,42,Headaches,38,Depression,34,46,26 people reported 262 effects,Dry mouth,34,Dry eyes,11,Dizzy,7,Headache,7,Paranoid,3,,,"Los Angeles, CA,Everett, WA,Freeland, WA",Hybrid,4.7 ,Alpha OG,,,,
--position:13.136147692723688%,,,,"66,%,51,%,49,%,32,%,32,%,44,%,40,%,29,%,22,%,19,%,24,%,18,%,6,%,3,%,2,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",Relaxed,66,Happy,51,Euphoric,49,Sleepy,32,Hungry,32,,Stress,44,Pain,40,Insomnia,29,Anxiety,22,Depression,19,106,77 people reported 579 effects,Dry mouth,24,Dry eyes,18,Paranoid,6,Dizzy,3,Anxious,2,,,"Los Angeles, CA,Malibu, CA,Palm Springs, CA,San Jose, CA,Wenatchee, WA,Arnold, CA,Bingen, WA,Emeryville, CA,Lompoc, CA,Medford, OR",Indica,4.3 ,Hashberry,,,,
--position:81.77636918153786%,,,,"70,%,61,%,50,%,46,%,34,%,38,%,37,%,29,%,17,%,17,%,19,%,10,%,8,%,7,%,5,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Nausea, ,Pain, ,Dry mouth, ,Dry eyes, ,Headache, ,Paranoid, ,Anxious, ",Happy,70,Euphoric,61,Uplifted,50,Relaxed,46,Creative,34,,Stress,38,Depression,37,Anxiety,29,Nausea,17,Pain,17,94,67 people reported 523 effects,Dry mouth,19,Dry eyes,10,Headache,8,Paranoid,7,Anxious,5,Black Jack,Cheese,"Parkland, WA,Puyallup, WA,Spanaway, WA,Spokane, WA,Bothell, WA,Fife, WA,Fountain Hills, AZ,Norridgewock, ME,Phoenix, AZ,Seattle, WA",Sativa,4.2 ,Sweet Cheese,,,,
--position:10.88548289522281%,,Quebec Gold,Murkle,"42,%,41,%,41,%,38,%,31,%,35,%,31,%,28,%,15,%,14,%,52,%,35,%,20,%,17,%,16,%","Happy, ,Relaxed, ,Sleepy, ,Hungry, ,Euphoric, ,Stress, ,Anxiety, ,Insomnia, ,Pain, ,Depression, ,Dry mouth, ,Dry eyes, ,Headache, ,Paranoid, ,Dizzy, ",Happy,42,Relaxed,41,Sleepy,41,Hungry,38,Euphoric,31,,Stress,35,Anxiety,31,Insomnia,28,Pain,15,Depression,14,184,129 people reported 876 effects,Dry mouth,52,Dry eyes,35,Headache,20,Paranoid,17,Dizzy,16,Northern Lights #5,Skunk No. 1,"Tahlequah, OK,Denver, CO,Molalla, OR",Indica,3 ,M-39,,,,
--position:14.4424634078693%,,,,"67,%,65,%,48,%,48,%,34,%,38,%,34,%,34,%,26,%,20,%,34,%,30,%,12,%,12,%,6,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Pain, ,Insomnia, ,Stress, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Relaxed,67,Happy,65,Sleepy,48,Euphoric,48,Uplifted,34,,Pain,38,Insomnia,34,Stress,34,Anxiety,26,Lack of appetite,20,75,49 people reported 386 effects,Dry mouth,34,Dry eyes,30,Dizzy,12,Paranoid,12,Anxious,6,El Niño,Skunk No. 1,"Salem, OR,Carroll, OH,Denver, CO,Harbor City, CA,Hillsboro, OR,Keizer, OR,Los Angeles, CA,Portland, OR,Tulsa, OK,Warr Acres, OK",Indica,4 ,Big Bang,,,,
--position:79.04382558318827%,,,,"66,%,52,%,49,%,37,%,36,%,51,%,38,%,33,%,30,%,14,%,31,%,14,%,6,%,4,%,2,%","Happy, ,Euphoric, ,Uplifted, ,Creative, ,Relaxed, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",Happy,66,Euphoric,52,Uplifted,49,Creative,37,Relaxed,36,,Stress,51,Anxiety,38,Depression,33,Pain,30,Insomnia,14,167,121 people reported 886 effects,Dry mouth,31,Dry eyes,14,Dizzy,6,Headache,4,Paranoid,2,Bubble Gum,Blueberry,"Bremerton, WA,Maple Valley, WA,Lake Stevens, WA,Marysville, WA,Mount Vernon, WA,Spokane, WA,Castle Rock, WA,Friday Harbor, WA,Mukilteo, WA,Port Orchard, WA",Hybrid,4.1 ,Bubbleberry,,,,16
--position:93.38965850730558%,,,,"57,%,57,%,51,%,40,%,40,%,48,%,36,%,36,%,32,%,24,%,38,%,20,%,16,%,6,%,6,%","Uplifted, ,Euphoric, ,Happy, ,Energetic, ,Relaxed, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",Uplifted,57,Euphoric,57,Happy,51,Energetic,40,Relaxed,40,,Stress,48,Anxiety,36,Pain,36,Depression,32,Fatigue,24,70,49 people reported 390 effects,Dry mouth,38,Dry eyes,20,Dizzy,16,Anxious,6,Headache,6,,,"Seattle, WA,Port Hadlock-Irondale, WA,Vancouver, WA,Lake Stevens, WA,Longview, WA,Mountlake Terrace, WA,Puyallup, WA,Ritzville, WA,Spokane, WA,Aberdeen, WA",Sativa,4.2 ,Black Diesel,,,,
--position:83.63700784897597%,,,,"65,%,65,%,65,%,65,%,61,%,53,%,46,%,38,%,34,%,34,%,26,%,7,%,7,%,3,%,3,%","Happy, ,Relaxed, ,Creative, ,Energetic, ,Uplifted, ,Stress, ,Depression, ,Anxiety, ,Pain, ,ADD/ADHD, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Paranoid, ",Happy,65,Relaxed,65,Creative,65,Energetic,65,Uplifted,61,,Stress,53,Depression,46,Anxiety,38,Pain,34,ADD/ADHD,34,30,26 people reported 282 effects,Dry mouth,26,Dizzy,7,Dry eyes,7,Anxious,3,Paranoid,3,Kosher Tangie,Super Lemon Haze,"Denver, CO,Fort Collins, CO,Westminster, CO",Hybrid,4.8 ,Citrus Sunshine Haze,,,,
--position:2.5082737585511383%,,Black Rose,Sputnik,"77,%,47,%,41,%,26,%,22,%,26,%,24,%,20,%,18,%,15,%,20,%,15,%,5,%,3,%,1,%","Relaxed, ,Sleepy, ,Euphoric, ,Happy, ,Focused, ,Anxiety, ,Stress, ,Pain, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Relaxed,77,Sleepy,47,Euphoric,41,Happy,26,Focused,22,,Anxiety,26,Stress,24,Pain,20,Insomnia,18,Depression,15,85,53 people reported 340 effects,Dry mouth,20,Dry eyes,15,Dizzy,5,Paranoid,3,Anxious,1,Black Domina,White Russian,"Bentonville, AR,Everett, WA,Freeland, WA,Spokane, WA,Fort Collins, CO,Glendale, AZ,, ,Anacortes, WA,Detroit, MI,Ellensburg, WA",Indica,4.3 ,Black Russian,,,,
--position:86.53060584451376%,,,,"58,%,57,%,48,%,47,%,40,%,36,%,30,%,20,%,17,%,15,%,22,%,11,%,6,%,6,%,5,%","Uplifted, ,Happy, ,Relaxed, ,Euphoric, ,Energetic, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Uplifted,58,Happy,57,Relaxed,48,Euphoric,47,Energetic,40,,Stress,36,Depression,30,Pain,20,Anxiety,17,Fatigue,15,119,90 people reported 669 effects,Dry mouth,22,Dry eyes,11,Dizzy,6,Paranoid,6,Headache,5,Pineapple,Jack Herer,"San Diego, CA,Desert Hot Springs, CA,Palm Springs, CA,San Francisco, CA,Santa Ana, CA,Bakersfield, CA,Bellingham, WA,Edmond, OK,Fresno, CA,Lompoc, CA",Sativa,4.4 ,Pineapple Jack,,,,15
--position:17.838469943145746%,,,,"74,%,59,%,55,%,37,%,33,%,37,%,29,%,25,%,22,%,18,%,29,%,18,%,3,%,3,%,3,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Hungry, ,Pain, ,Stress, ,Anxiety, ,Migraines, ,Headaches, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",Relaxed,74,Euphoric,59,Happy,55,Uplifted,37,Hungry,33,,Pain,37,Stress,29,Anxiety,25,Migraines,22,Headaches,18,51,27 people reported 217 effects,Dry mouth,29,Dry eyes,18,Anxious,3,Dizzy,3,Paranoid,3,,,"Lake Havasu City, AZ,Oakridge, OR,Springfield, OR",Hybrid,4.6 ,Bugatti OG,,,,
--position:28.235214373225244%,,,,"69,%,55,%,52,%,44,%,36,%,38,%,36,%,33,%,33,%,27,%,25,%,11,%,2,%,2,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Pain, ,PTSD, ,Depression, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Headache, ",Relaxed,69,Euphoric,55,Happy,52,Uplifted,44,Creative,36,,Stress,38,Anxiety,36,Pain,33,PTSD,33,Depression,27,46,36 people reported 302 effects,Dry mouth,25,Dry eyes,11,Anxious,2,Dizzy,2,Headache,2,Snowcap,LA Confidential,"Portland, OR,Bend, OR,Beaverton, OR,Bellingham, WA,Salem, OR,Oak Grove, OR,Seattle, WA,Spokane, WA,Ontario, OR,Bothell, WA",Hybrid,4.7 ,SnowLAnd,"width:170%,width:114%,width:58%","Fruity,Minty,Pine","Terpinolene,Ocimene,Pinene",19.5
--position:30.948641565961804%,,Biddy Early,Motavation,"68,%,55,%,48,%,45,%,26,%,55,%,46,%,36,%,35,%,18,%,31,%,18,%,10,%,8,%,6,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Inflammation, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Headache, ",Relaxed,68,Happy,55,Euphoric,48,Uplifted,45,Focused,26,,Stress,55,Pain,46,Anxiety,36,Depression,35,Inflammation,18,72,60 people reported 460 effects,Dry mouth,31,Dry eyes,18,Paranoid,10,Dizzy,8,Headache,6,Afghani,Skunk No. 1,"Lynden, WA,Tulsa, OK,Anacortes, WA,Catoosa, OK,Del City, OK,Ellensburg, WA,Everett, WA,Granite Falls, WA,Jenks, OK,Lynnwood, WA",Hybrid,4 ,Warlock,,,,15.5
--position:99.3790319888562%,,,,"67,%,59,%,54,%,53,%,51,%,43,%,37,%,24,%,21,%,16,%,18,%,12,%,7,%,6,%,1,%","Energetic, ,Happy, ,Creative, ,Euphoric, ,Uplifted, ,Stress, ,Anxiety, ,Depression, ,Fatigue, ,Pain, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",Energetic,67,Happy,59,Creative,54,Euphoric,53,Uplifted,51,,Stress,43,Anxiety,37,Depression,24,Fatigue,21,Pain,16,101,79 people reported 587 effects,Dry mouth,18,Dry eyes,12,Paranoid,7,Dizzy,6,Anxious,1,Green Crack,Jack Herer,"Aptos, CA,Royal Oaks, CA,Phoenix, AZ,Youngtown, AZ",Sativa,4 ,Cracker Jack,"width:170%,width:114%,width:58%","Fruity,Peppery,Minty","Terpinolene,Caryophyllene,Ocimene",20.5
--position:68.85141443902454%,,,,"59,%,53,%,43,%,40,%,25,%,43,%,37,%,31,%,25,%,21,%,21,%,21,%,15,%,6,%,3,%","Euphoric, ,Happy, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Migraines, ,Depression, ,Dry eyes, ,Dry mouth, ,Paranoid, ,Dizzy, ,Anxious, ",Euphoric,59,Happy,53,Uplifted,43,Relaxed,40,Creative,25,,Stress,43,Anxiety,37,Pain,31,Migraines,25,Depression,21,44,32 people reported 210 effects,Dry eyes,21,Dry mouth,21,Paranoid,15,Dizzy,6,Anxious,3,Afghani,Sour Diesel,"Seattle, WA,Spokane, WA,Arlington, WA,Stanwood, WA,Bothell, WA,Chevy Chase, MD,Everett, WA,Gunnison, CO,Lake Stevens, WA,Oklahoma City, OK",Hybrid,3.5 ,Afghan Diesel,,,,
--position:20.47232624975598%,,,,"82,%,58,%,55,%,51,%,48,%,41,%,37,%,31,%,27,%,27,%,24,%,17,%,17,%,6,%,3,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Stress, ,Depression, ,Anxiety, ,PTSD, ,Insomnia, ,Dry eyes, ,Dizzy, ,Dry mouth, ,Anxious, ,Paranoid, ",Relaxed,82,Euphoric,58,Happy,55,Sleepy,51,Uplifted,48,,Stress,41,Depression,37,Anxiety,31,PTSD,27,Insomnia,27,51,29 people reported 263 effects,Dry eyes,24,Dizzy,17,Dry mouth,17,Anxious,6,Paranoid,3,LA Confidential,OG Kush,"Phoenix, AZ,Carson City, NV,Las Vegas, NV,Mesa, AZ,Nowata, OK,California, CA,Flagstaff, AZ,Guadalupe, AZ,Oklahoma City, OK,Palo Alto, CA",Hybrid,4.6 ,Madman OG,,,,20
--position:97.1987589984501%,,,,"72,%,67,%,65,%,62,%,58,%,50,%,48,%,24,%,22,%,22,%,18,%,8,%,6,%,5,%,5,%","Happy, ,Euphoric, ,Uplifted, ,Creative, ,Energetic, ,Depression, ,Stress, ,Fatigue, ,Anxiety, ,Pain, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",Happy,72,Euphoric,67,Uplifted,65,Creative,62,Energetic,58,,Depression,50,Stress,48,Fatigue,24,Anxiety,22,Pain,22,66,58 people reported 525 effects,Dry mouth,18,Dry eyes,8,Dizzy,6,Anxious,5,Paranoid,5,Trainwreck,Jack Herer,"Seattle, WA,Portland, OR,Eugene, OR,Salem, OR,Spokane, WA,Bellevue, WA,Ocean Shores, WA,Sequim, WA,Albany, OR,Bend, OR",Sativa,4.7 ,Narnia,,,,
--position:93.93736359784515%,,Canna-Wreck,Jacked-Up,"61,%,59,%,53,%,45,%,43,%,32,%,29,%,26,%,25,%,17,%,18,%,10,%,9,%,3,%,3,%","Euphoric, ,Happy, ,Uplifted, ,Energetic, ,Creative, ,Depression, ,Stress, ,Anxiety, ,Pain, ,PTSD, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Headache, ",Euphoric,61,Happy,59,Uplifted,53,Energetic,45,Creative,43,,Depression,32,Stress,29,Anxiety,26,Pain,25,PTSD,17,139,102 people reported 784 effects,Dry mouth,18,Dry eyes,10,Anxious,9,Dizzy,3,Headache,3,Timewreck,Trinity,"Phoenix, AZ,Seattle, WA,Glendale, AZ,The Dalles, OR,Boulder, CO,Dinosaur, CO,Gilbert, AZ,Lake Wales, FL,Scottsdale, AZ,Tempe, AZ",Sativa,4.4 ,Timewreck,,,,18.5
--position:92.5142870063525%,,,,"62,%,62,%,62,%,54,%,50,%,41,%,33,%,33,%,29,%,20,%,37,%,33,%,12,%,12,%,4,%","Happy, ,Focused, ,Uplifted, ,Euphoric, ,Talkative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,ADD/ADHD, ,Dry eyes, ,Dry mouth, ,Anxious, ,Headache, ,Paranoid, ",Happy,62,Focused,62,Uplifted,62,Euphoric,54,Talkative,50,,Stress,41,Anxiety,33,Pain,33,Depression,29,ADD/ADHD,20,35,24 people reported 215 effects,Dry eyes,37,Dry mouth,33,Anxious,12,Headache,12,Paranoid,4,,,"Detroit, MI",Sativa,3.7 ,Green Haze,,,,
--position:92.14142181708858%,,,,"61,%,53,%,51,%,46,%,43,%,26,%,21,%,18,%,18,%,11,%,26,%,20,%,18,%,8,%,5,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Relaxed, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Lack of appetite, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Headache, ",Happy,61,Euphoric,53,Uplifted,51,Energetic,46,Relaxed,43,,Stress,26,Depression,21,Anxiety,18,Pain,18,Lack of appetite,11,90,60 people reported 414 effects,Dry mouth,26,Dizzy,20,Dry eyes,18,Anxious,8,Headache,5,Casey Jones,Chemdog,"Denver, CO,Boulder, CO,Durango, CO,Maple Valley, WA,Everett, WA,Ritzville, WA,Vancouver, WA,Bellingham, WA,Denver, co,Kelso, WA",Hybrid,4.7 ,Chemmy Jones,,,,
--position:34.801414943389055%,,Alf,The Ooze,"64,%,50,%,45,%,45,%,26,%,29,%,29,%,18,%,16,%,16,%,17,%,7,%,6,%,6,%,3,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Creative, ,Pain, ,Stress, ,Insomnia, ,Depression, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Relaxed,64,Happy,50,Uplifted,45,Euphoric,45,Creative,26,,Pain,29,Stress,29,Insomnia,18,Depression,16,Anxiety,16,113,79 people reported 540 effects,Dry mouth,17,Dry eyes,7,Dizzy,6,Paranoid,6,Headache,3,Fire Alien Kush,The White,"Renton, WA,Chandler, AZ,Anacortes, WA,Mount Vernon, WA,Burlington, WA,Everett, WA,Kelso, WA,Moses Lake, WA,Northglenn, CO,Poulsbo, WA",Hybrid,4.4 ,White Fire Alien OG,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",20
--position:6.562670604002535%,,,,"112,%,95,%,66,%,45,%,37,%,45,%,41,%,25,%,25,%,25,%,29,%,12,%,8,%,4,%,4,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Pain, ,Stress, ,Lack of appetite, ,Depression, ,Anxiety, ,Dry eyes, ,Dry mouth, ,Headache, ,Anxious, ,Dizzy, ",Relaxed,112,Euphoric,95,Happy,66,Sleepy,45,Uplifted,37,,Pain,45,Stress,41,Lack of appetite,25,Depression,25,Anxiety,25,34,24 people reported 234 effects,Dry eyes,29,Dry mouth,12,Headache,8,Anxious,4,Dizzy,4,Cheese,Blue Cheese,"Tulsa, OK,Claremore, OK,Moses Lake, WA,Otis Orchards-East Farms, WA,Purcell, OK,Ritzville, WA,Sapulpa, OK,Spokane, WA",Indica,4.6 ,Triple Cheese,,,,
--position:15.971971741665536%,,,,"89,%,57,%,55,%,36,%,36,%,52,%,39,%,39,%,31,%,28,%,18,%,10,%,10,%,5,%,5,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Fatigue, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Headache, ",Relaxed,89,Happy,57,Euphoric,55,Uplifted,36,Sleepy,36,,Stress,52,Depression,39,Pain,39,Anxiety,31,Fatigue,28,52,38 people reported 393 effects,Dry mouth,18,Dizzy,10,Dry eyes,10,Anxious,5,Headache,5,Chemdog 91,GSC,"San Diego, CA,The Dalles, OR,West Hollywood, CA,Blythe, CA,Long Beach, CA,Los Angeles, CA,Napa, CA,San Andreas, CA,San Francisco, CA,Sunland, CA",Indica,4.6 ,Chem Scout,,,,22.5
--position:19.381406032393155%,,,,"83,%,75,%,57,%,48,%,31,%,39,%,34,%,33,%,24,%,21,%,21,%,21,%,3,%,3,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Anxiety, ,Stress, ,Pain, ,ADD/ADHD, ,PTSD, ,Dry eyes, ,Dry mouth, ,Anxious, ,Dizzy, ,Paranoid, ",Relaxed,83,Happy,75,Euphoric,57,Uplifted,48,Creative,31,,Anxiety,39,Stress,34,Pain,33,ADD/ADHD,24,PTSD,21,104,66 people reported 584 effects,Dry eyes,21,Dry mouth,21,Anxious,3,Dizzy,3,Paranoid,1,303 OG,Trainwreck,"Seattle, WA,Spokane, WA,Everett, WA,Las Vegas, NV,Vancouver, WA,Bellingham, WA,Liberty Lake, WA,Walla Walla, WA,Boulder, CO,Olympia, WA",Indica,4.7 ,Primus,,,,
--position:7.209324891032731%,,Blucifer,Mossad,"77,%,52,%,46,%,41,%,33,%,41,%,34,%,32,%,24,%,22,%,32,%,10,%,1,%,1,%,0,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Stress, ,Pain, ,Insomnia, ,Depression, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Relaxed,77,Happy,52,Sleepy,46,Euphoric,41,Uplifted,33,,Stress,41,Pain,34,Insomnia,32,Depression,24,Anxiety,22,147,103 people reported 781 effects,Dry mouth,32,Dry eyes,10,Dizzy,1,Paranoid,1,Anxious,0,Obama Kush,Space Queen,"Salem, OR,Denver, CO,Mount Vernon, WA,Spokane, WA,Boulder, CO,Everett, WA,Lynnwood, WA,Monmouth, OR,Portland, OR,Seattle, WA",Indica,4.6 ,Conspiracy Kush,,,,19
--position:73.6952424232086%,7,,,"59,%,48,%,48,%,43,%,40,%,54,%,48,%,48,%,43,%,43,%,29,%,8,%,8,%,5,%,2,%","Relaxed, ,Focused, ,Uplifted, ,Happy, ,Energetic, ,Stress, ,Pain, ,Inflammation, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",Relaxed,59,Focused,48,Uplifted,48,Happy,43,Energetic,40,,Stress,54,Pain,48,Inflammation,48,Anxiety,43,Depression,43,48,37 people reported 354 effects,Dry mouth,29,Dry eyes,8,Paranoid,8,Anxious,5,Dizzy,2,,,"Anchorage, AK,Fife, WA,Parkland, WA,Spanaway, WA,Puyallup, WA,San Juan, PR,Sequim, WA,Bellingham, WA,Desert Hot Springs, CA,Humacao, PR",Sativa,4.5 ,CBD Mango Haze,,,,4
--position:17.838469943145746%,,,,"90,%,80,%,55,%,55,%,50,%,50,%,45,%,45,%,40,%,35,%,30,%,20,%,20,%,5,%,5,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Hungry, ,Depression, ,Anxiety, ,Stress, ,Pain, ,Insomnia, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Headache, ",Relaxed,90,Happy,80,Uplifted,55,Euphoric,55,Hungry,50,,Depression,50,Anxiety,45,Stress,45,Pain,40,Insomnia,35,32,20 people reported 226 effects,Dry mouth,30,Dizzy,20,Dry eyes,20,Anxious,5,Headache,5,Mendocino Purps,White Rhino,,Hybrid,4.6 ,Purple Rhino,,,,
--position:3.806584615103925%,,,,"58,%,52,%,46,%,43,%,37,%,48,%,47,%,40,%,35,%,20,%,35,%,28,%,10,%,3,%,2,%","Relaxed, ,Sleepy, ,Euphoric, ,Happy, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Relaxed,58,Sleepy,52,Euphoric,46,Happy,43,Hungry,37,,Stress,48,Pain,47,Insomnia,40,Anxiety,35,Depression,20,113,82 people reported 675 effects,Dry mouth,35,Dry eyes,28,Dizzy,10,Paranoid,3,Headache,2,Master Kush,Bubba Kush,,Indica,4 ,Master Bubba,,,,
--position:68.85141443902454%,,,,"75,%,62,%,54,%,50,%,41,%,33,%,29,%,20,%,12,%,12,%,45,%,12,%,8,%,4,%,4,%","Happy, ,Relaxed, ,Focused, ,Uplifted, ,Creative, ,Stress, ,Depression, ,Pain, ,Fatigue, ,Headaches, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Headache, ",Happy,75,Relaxed,62,Focused,54,Uplifted,50,Creative,41,,Stress,33,Depression,29,Pain,20,Fatigue,12,Headaches,12,34,24 people reported 157 effects,Dry mouth,45,Dry eyes,12,Anxious,8,Dizzy,4,Headache,4,,,,Hybrid,4.3 ,Balmoral,,,,
--position:68.57964174051956%,,,,"68,%,68,%,51,%,44,%,44,%,34,%,34,%,27,%,24,%,20,%,27,%,10,%,6,%,6,%,3,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Lack of appetite, ,Pain, ,Muscle spasms, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",Happy,68,Relaxed,68,Uplifted,51,Euphoric,44,Creative,44,,Stress,34,Depression,34,Lack of appetite,27,Pain,24,Muscle spasms,20,48,29 people reported 224 effects,Dry mouth,27,Dry eyes,10,Anxious,6,Paranoid,6,Dizzy,3,Colombian Gold,Afghani,,Hybrid,4.5 ,Monkey Paw,,,,
--position:18.115909993507334%,,White Moonshine,Velvet Krush,"58,%,55,%,50,%,35,%,32,%,54,%,42,%,31,%,30,%,21,%,35,%,31,%,8,%,7,%,4,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Insomnia, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Headache, ,Anxious, ",Relaxed,58,Euphoric,55,Happy,50,Sleepy,35,Uplifted,32,,Stress,54,Pain,42,Depression,31,Anxiety,30,Insomnia,21,94,70 people reported 587 effects,Dry eyes,35,Dry mouth,31,Dizzy,8,Headache,7,Anxious,4,Thai,Afghani,"Portland, OR,Corvallis, OR,Effingham, IL,Joliet, IL,Mundelein, IL,Tigard, OR,Vancouver, WA",Indica,4.1 ,Blue Moonshine,,,,17
