calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
,,,,,,,4,,,,"Cathlamet, WA,Flagstaff, AZ,Adrian, MI,Ferndale, MI,Seattle, WA,Denver, CO,Homewood, IL,Puyallup, WA,Show Low, AZ",Hybrid,4.5 ,Florida OG,,,,22.5
--position:57.51670079876199%,,,,"81,%,59,%,45,%,40,%,31,%,50,%,45,%,40,%,31,%,27,%,22,%,4,%,4,%","Relaxed, ,Focused, ,Uplifted, ,Happy, ,Energetic, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Inflammation, ,Dry mouth, ,Anxious, ,Dry eyes, ",,25,22 people reported 151 effects,Swiss Gold,ACDC,"Englewood, CO,Humacao, PR,Seattle, WA,Commerce City, CO,Dayton, WA,Fraser, CO,Nederland, CO",Hybrid,4.6 ,Treasure Island,,,,
--position:48.1570568857734%,,,,"77,%,72,%,50,%,44,%,38,%,22,%,22,%,16,%,16,%,16,%,27,%,16,%,16,%,5,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Focused, ,Lack of appetite, ,Inflammation, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Headache, ",,29,18 people reported 114 effects,,,"Anchorage, AK,Poulsbo, WA",Sativa,4 ,Frostbite,,,,
,,,,,,,12,,Afgoo,Green Crack,,Hybrid,3.7 ,Afcrack,,,,
,,,,,,,22,,Sour Apple,Alien Dawg,"Juneau, AK,Los Angeles, CA,Seattle, WA",Hybrid,4.7 ,Alien Sour Apple,,,,
--position:95.40730373183004%,,,,"50,%,47,%,44,%,41,%,41,%,25,%,25,%,22,%,19,%,8,%,27,%,13,%,5,%,2,%,2,%","Uplifted, ,Happy, ,Creative, ,Energetic, ,Euphoric, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Headache, ,Anxious, ,Dizzy, ",,48,36 people reported 223 effects,Mango,Blue Dream,"Seaside, OR",Sativa,3.9 ,Mango Dream,,,,
--position:77.01017807523941%,,,,"74,%,51,%,42,%,42,%,37,%,37,%,31,%,31,%,25,%,17,%,22,%,20,%,5,%,5,%,2,%","Happy, ,Uplifted, ,Giggly, ,Relaxed, ,Euphoric, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,61,35 people reported 265 effects,East Coast Sour Diesel,Super Skunk,"Boothbay, ME,Portland, OR,Beaverton, OR,Chandler, AZ,Waterville, ME",Hybrid,4.4 ,Super Sour Skunk,,,,
--position:24.614849541437057%,,,,"64,%,57,%,57,%,35,%,35,%,39,%,28,%,28,%,28,%,21,%,42,%,21,%,17,%,10,%,3,%","Euphoric, ,Relaxed, ,Happy, ,Uplifted, ,Focused, ,Stress, ,Anxiety, ,Pain, ,Insomnia, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ","Easy,30 - 78,3 - 6,7 - 9",37,28 people reported 240 effects,,,"Burlington, WA",Hybrid,4.4 ,White Skunk,,,,
--position:29.164741279459637%,,,,"81,%,58,%,53,%,37,%,37,%,39,%,31,%,27,%,27,%,18,%,15,%,10,%,5,%,3,%,1,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Paranoid, ",,79,58 people reported 482 effects,Blueberry,White Widow,"El Sobrante, CA,Eugene, OR",Hybrid,4.5 ,Blue Venom,,,,
--position:1.1412718184829418%,,,,"76,%,52,%,47,%,42,%,28,%,42,%,42,%,38,%,28,%,28,%,28,%,19,%,9,%,4,%,4,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Talkative, ,Stress, ,Insomnia, ,Pain, ,Anxiety, ,Muscle spasms, ,Dry eyes, ,Dry mouth, ,Paranoid, ,Anxious, ,Dizzy, ",,33,21 people reported 191 effects,,,"Canoga Park, CA,Seattle, WA,Denver, CO,Medford, OR,Moffat, CO,Mukilteo, WA,Olympia, WA,Renton, WA,Snohomish, WA,Anchorage, AK",Indica,4.5 ,Kraken,,,,
--position:86.67872257902164%,,,,,,,35,,Maple Leaf Indica,Matanuska Thunder Fuck,"Glendale, AZ,Oklahoma City, OK",Hybrid,4.8 ,Cherry Thunder Fuck,,,,
--position:46.185137495792844%,,,,,,,14,,Blackberry,Grapefruit,"Denver, CO",Hybrid,4.6 ,Pink Mango,,,,
,,,,,,,4,,OGKB,Do-Si-Dos,"Fife, WA,Tacoma, WA,Bend, OR,Biddeford, ME,Denver, CO,Everett, WA,Klamath Falls, OR,Medford, OR,Portland, OR,Salisbury, MD",Hybrid,5 ,Sugar Breath,,,,
,,,,,,,13,,Rug Burn OG,Dark Star,"Anchorage, AK,Buckley, WA,Houston, AK,Okmulgee, OK",Indica,4.7 ,Darkside OG,,,,17
--position:61.34442879802143%,,,,"68,%,55,%,48,%,41,%,31,%,55,%,51,%,37,%,31,%,24,%,31,%,24,%,10,%,10,%,3,%","Euphoric, ,Happy, ,Uplifted, ,Relaxed, ,Creative, ,Pain, ,Stress, ,Depression, ,Anxiety, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,33,29 people reported 251 effects,Trainwreck,OG Kush,"Portland, OR",Indica,4.5 ,K-Train,,,,
--position:30.244195543032305%,,,,"65,%,65,%,46,%,40,%,32,%,28,%,22,%,21,%,20,%,16,%,17,%,9,%,5,%,5,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,139,92 people reported 660 effects,Cheese,LA Confidential,"Seattle, WA,Everett, WA,Kelso, WA,Tacoma, WA,Edmonds, WA,Redmond, WA,Granite Falls, WA,Maple Valley, WA,Mount Vernon, WA,Mountlake Terrace, WA",Indica,4.4 ,Confidential Cheese,,,,20
--position:9.97599677191696%,,,,"43,%,39,%,30,%,26,%,26,%,39,%,30,%,26,%,26,%,17,%,26,%,26,%,21,%,8,%,8,%","Relaxed, ,Happy, ,Euphoric, ,Aroused, ,Sleepy, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Lack of appetite, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Anxious, ,Paranoid, ",,34,23 people reported 178 effects,,,"Ferndale, WA,Seattle, WA,Lompoc, CA,San Bernardino, CA,Bellingham, WA,Portland, OR,Puyallup, WA,Adrian, MI,El Sobrante, CA,Everett, WA",Hybrid,4.3 ,Cherry Sherbet,,,,
,,,,,,,15,,Acapulco Gold,Cinderella 99,,Sativa,4.3 ,Devil's Tit,,,,
--position:8.61426141945344%,,,,"80,%,50,%,50,%,42,%,38,%,26,%,19,%,19,%,19,%,19,%,26,%,11,%,3,%,3,%","Relaxed, ,Hungry, ,Sleepy, ,Happy, ,Uplifted, ,Pain, ,Stress, ,Fatigue, ,Depression, ,Lack of appetite, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Headache, ",,38,26 people reported 161 effects,Blackberry,Blue Dream,"Shawnee, OK,Ada, OK,Del City, OK,Kiezer, OR,Los Angeles, CA,Mechanicsville, MD,Parkville, MD",Indica,4.5 ,Dream Berry,,,,
--position:46.185137495792844%,,,,"60,%,60,%,54,%,45,%,33,%,36,%,27,%,24,%,24,%,18,%,18,%,15,%,12,%,6,%,3,%","Happy, ,Relaxed, ,Euphoric, ,Creative, ,Uplifted, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Headaches, ,Anxious, ,Dry mouth, ,Paranoid, ,Dry eyes, ,Dizzy, ",,54,33 people reported 264 effects,Abusive OG,Chemdog,"Seattle, WA,Bellingham, WA,Everett, WA,Mount Vernon, WA,Renton, WA,Tacoma, WA,Yakima, WA,Edmonds, WA,Gig Harbor, WA,Kelso, WA",Hybrid,4.4 ,Secret Recipe,,,,
,,,,,,,3,,,,"Portland, OR,Bend, OR,Coos Bay, OR,Denver, CO,Englewood, CO,Eugene, OR,Molalla, OR,Newberg, OR,Ontario, OR,Pacific City, OR",Hybrid,4.3 ,Cluster Funk,,,,
--position:36.685912903315234%,,,,"65,%,53,%,43,%,40,%,34,%,31,%,25,%,21,%,21,%,21,%,25,%,9,%,6,%,6,%","Relaxed, ,Happy, ,Focused, ,Euphoric, ,Uplifted, ,Pain, ,Stress, ,Depression, ,Anxiety, ,Muscle spasms, ,Dry mouth, ,Headache, ,Dry eyes, ,Paranoid, ",,45,32 people reported 206 effects,AK-47,White Widow,"Phoenix, AZ,Capitol Heights, MD,Fountain Hills, AZ,New Market, MD,Ocean City, MD,Prescott Valley, AZ",Hybrid,4.5 ,Kalashnikova,,,,
--position:98.85192335072233%,,,,,,,38,,,,,Sativa,4.8 ,Wabanaki,,,,
,,,,,,,13,,,,"Santa Cruz, CA,McMinnville, OR,Tacoma, WA",Hybrid,4.1 ,Marcosus Marshmellow,,,,
--position:11.640804457925713%,,,,"66,%,40,%,40,%,33,%,33,%,53,%,46,%,46,%,26,%,26,%,40,%,20,%,13,%,6,%,6,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Giggly, ,Pain, ,Anxiety, ,Stress, ,Insomnia, ,Muscle spasms, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,27,15 people reported 122 effects,,,"Reno, NV,Los Angeles, CA,Mount Pleasant, MI,Seaside, CA",Indica,3.9 ,Banana Candy,,,,
,,,,,,,2,,The Black,Face Off OG,"Chicago, IL,Olympia, WA,Posen, IL,Davis, OK,Homewood, IL,Long Beach, CA,Nantucket, MA,Tacoma, WA",Hybrid,5 ,Black Out,,,,
--position:97.99119017730501%,,,,"72,%,72,%,68,%,55,%,51,%,48,%,44,%,31,%,27,%,20,%,17,%,13,%,6,%,3,%","Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Creative, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Nausea, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ",,43,29 people reported 253 effects,Stardawg,Blue Dream,"Annapolis, MD",Hybrid,4.6 ,Dream Star,,,,
--position:51.990473167756065%,,Bell Ringer,Purple Bud,"62,%,50,%,48,%,39,%,32,%,59,%,45,%,33,%,32,%,32,%,49,%,27,%,11,%,7,%,4,%","Euphoric, ,Relaxed, ,Happy, ,Uplifted, ,Hungry, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,107,81 people reported 673 effects,Skunk No. 1,Hindu Kush,,Indica,4.1 ,Hindu Skunk,,,,
--position:2.950386274544753%,,,,,,,24,,,,"Bartlesville, OK,Jenks, OK,Liberty Lake, WA,Los Angeles, CA,Poteau, OK,Spokane, WA",Indica,4.2 ,Pluto Kush,,,,
--position:3.470260109348866%,,,,"73,%,50,%,26,%,26,%,23,%,40,%,40,%,33,%,23,%,23,%,36,%,20,%,16,%,10,%,6,%","Relaxed, ,Sleepy, ,Uplifted, ,Euphoric, ,Happy, ,Pain, ,Stress, ,Insomnia, ,Depression, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,38,30 people reported 215 effects,Shishkaberry,Afghani,"Wenatchee, WA",Indica,3.7 ,Barbara Bud,,,,
,,,,,,,5,,,,,Sativa,4.6 ,Central American,,,,
--position:11.907829651139112%,,,,"53,%,42,%,40,%,40,%,27,%,45,%,39,%,35,%,29,%,23,%,30,%,18,%,10,%,5,%,3,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Pain, ,Stress, ,Anxiety, ,Insomnia, ,Nausea, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,168,111 people reported 838 effects,,,"Seattle, WA,Spokane Valley, WA,Ritzville, WA,Salem, OR,Clarkston, WA,Liberty Lake, WA,Mount Vernon, WA,Bothell, WA,Bremerton, WA,Everett, WA",Indica,4.2 ,Pitbull,,,,17
--position:27.800901539807583%,,,,"55,%,44,%,41,%,41,%,41,%,34,%,30,%,27,%,27,%,16,%,25,%,20,%,9,%,2,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Insomnia, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ",,108,43 people reported 295 effects,,,"Eugene, OR,Oklahoma City, OK",Hybrid,4.5 ,Sugar Shack,,,,
--position:99.3790319888562%,,,,,,,19,,Orange Cream,Trainwreck,"Portland, OR,Oregon City, OR,Salem, OR,Central Point, OR,Clackamas, OR,Cottage Grove, OR,Gladstone, OR,Hines, OR,Issaquah, WA,Kenai, AK",Sativa,4.6 ,Sonic Screwdriver,,,,
--position:74.93309649817323%,,,,"72,%,61,%,55,%,55,%,50,%,22,%,22,%,22,%,22,%,16,%,66,%,55,%,44,%,33,%,27,%","Happy, ,Hungry, ,Energetic, ,Uplifted, ,Relaxed, ,Stress, ,Nausea, ,Depression, ,Eye pressure, ,Headaches, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Paranoid, ,Anxious, ",,27,18 people reported 168 effects,,,"Spokane, WA",Sativa,4.1 ,South American,,,,
--position:98.95601711950775%,,,,"77,%,64,%,58,%,58,%,48,%,48,%,29,%,25,%,19,%,19,%,29,%,16,%,3,%,3,%","Uplifted, ,Focused, ,Energetic, ,Happy, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Fatigue, ,Pain, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ",,40,31 people reported 229 effects,,,"Marysville, WA,Tulsa, OK,Kelso, WA,Malibu, CA,San Jose, CA,Burlington, WA,Moses Lake, WA,Otis Orchards-East Farms, WA,Redding, CA,Shasta Lake City, CA",Sativa,4.2 ,Sour Flower,,,,
--position:61.34442879802143%,,,,,,,24,,,,"Las Vegas, NV,Reno, NV,Carson City, NV,Rockville, MD,Chatsworth, CA,Detroit, MI,Fall River, MA,Fernley, NV,Kalamazoo, MI,Los Angeles, CA",Hybrid,4.6 ,White Sangria,,,,
--position:71.5179702160335%,,,,"66,%,57,%,57,%,52,%,38,%,38,%,38,%,23,%,19,%,14,%,14,%,14,%,9,%,9,%,9,%","Uplifted, ,Relaxed, ,Happy, ,Euphoric, ,Talkative, ,Stress, ,Pain, ,Depression, ,Insomnia, ,Fatigue, ,Dizzy, ,Dry mouth, ,Anxious, ,Dry eyes, ,Paranoid, ",,39,21 people reported 142 effects,Skunk No. 1,AK-47,"Portland, OR,Salem, OR,Eugene, OR,Hood River, OR,Ashland, OR,Bend, OR,Klamath Falls, OR,Manchester, ME,Merlin, OR,Ontario, OR",Hybrid,4.5 ,Elvis,,,,
,,,,,,,7,,ACDC,Animal Cookies,,Hybrid,4.6 ,G.O.A.T.,,,,
,,,,,,,4,,,,"Bixby, OK",Hybrid,4.3 ,Jungle Scout Cookies,,,,
,,,,,,,10,,Alien Kush,Stardawg,"Maple Valley, WA,Oklahoma City, OK,Renton, WA,Roland, OK,Shoreline, WA",Sativa,4.4 ,Alien Stardawg,,,,
--position:77.01017807523941%,,,,,,,31,,Permafrost,Afghani,"Arlington, WA,Mount Vernon, WA,Bothell, WA,Bremerton, WA,Clarkston, WA,Oak Harbor, WA,Sequim, WA,Tacoma, WA,, ,Ann Arbor, MI",Hybrid,4.8 ,Omega,,,,
,,,,,,,9,,The White,Super Silver Haze,"Durango, CO,Idaho Springs, CO,Los Angeles, CA",Hybrid,4.7 ,Whiteout,,,,
--position:89.40764357466081%,,,,"51,%,51,%,41,%,41,%,37,%,31,%,31,%,27,%,17,%,10,%,27,%,17,%,6,%,3,%","Happy, ,Focused, ,Creative, ,Uplifted, ,Euphoric, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Nausea, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Headache, ",,39,29 people reported 179 effects,NYC Diesel,Sour Diesel,"Phoenix, AZ,Bellingham, WA,San Francisco, CA,Apache Junction, AZ,Mesa, AZ,Cashmere, WA,Clarkston, WA,East Wenatchee, WA,Gold Bar, WA,Mountlake Terrace, WA",Sativa,4 ,Double Diesel,,,,
--position:17.405428443253168%,,,,"95,%,85,%,80,%,60,%,50,%,50,%,50,%,35,%,25,%,25,%,45,%,10,%,5,%,5,%,5,%","Happy, ,Creative, ,Relaxed, ,Focused, ,Euphoric, ,Stress, ,Depression, ,Insomnia, ,Anxiety, ,Pain, ,Dry mouth, ,Dizzy, ,Anxious, ,Dry eyes, ,Paranoid, ",,41,20 people reported 206 effects,,,,Sativa,4.5 ,Aceh,,,,
--position:89.90110231301409%,,,,"66,%,61,%,58,%,47,%,38,%,52,%,36,%,30,%,27,%,25,%,33,%,16,%,8,%,5,%,2,%","Happy, ,Uplifted, ,Creative, ,Relaxed, ,Energetic, ,Stress, ,Depression, ,Anxiety, ,Pain, ,ADD/ADHD, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,54,36 people reported 320 effects,Cinderella 99,White Widow,"Portland, OR,Bend, OR,Eugene, OR,North Bend, OR",Hybrid,4.5 ,Ice Queen,,,,
,,,,,,,12,,Early Girl,Headband,"Davis, CA,Lompoc, CA,Merced, CA,Salinas, CA,Union Gap, WA,Windham, ME",Indica,4.7 ,Black Roses,,,,
,,,,,,,15,,,,"Seattle, WA,Bellingham, WA,Lynnwood, WA,Mesquite, NV,Edmonds, WA,Everett, WA,Las Vegas, NV,Marysville, WA,Pittsfield, MA,Portland, OR",Hybrid,4 ,Old School OG,,,,
--position:2.4220068858796964%,,,,"82,%,64,%,51,%,41,%,24,%,48,%,43,%,36,%,30,%,20,%,26,%,16,%,6,%,4,%,2,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Headache, ,Paranoid, ,Anxious, ",,129,91 people reported 730 effects,,,"Kingston, WA,Bingen, WA,Portland, OR,Spokane, WA,Tacoma, WA,Vancouver, WA,Seattle, WA,Bellingham, WA,Otis Orchards-East Farms, WA,Spokane Valley, WA",Indica,4.3 ,UW,,,,18
,,,,,,,14,,Cherry OG,Stardawg,"San Juan, PR,Fajardo, PR",Hybrid,4.6 ,Cackleberry,,,,
--position:63.815376634526245%,,,,"66,%,66,%,54,%,42,%,27,%,72,%,57,%,54,%,51,%,42,%,33,%,6,%,6,%,6,%,3,%","Happy, ,Relaxed, ,Uplifted, ,Focused, ,Energetic, ,Pain, ,Inflammation, ,Stress, ,Anxiety, ,Depression, ,Dry mouth, ,Anxious, ,Dizzy, ,Headache, ,Dry eyes, ",,41,33 people reported 356 effects,,,"Canoga Park, CA,Eugene, OR,Sacramento, CA,Spokane, WA",Hybrid,4.5 ,Avi-Dekel,,,,
--position:65.53532416620911%,,,,"300,%,300,%,240,%,80,%,80,%,260,%,240,%,240,%,240,%,220,%,220,%,220,%,20,%,20,%","Uplifted, ,Euphoric, ,Sleepy, ,Focused, ,Hungry, ,Depression, ,Stress, ,Pain, ,Insomnia, ,Nausea, ,Anxious, ,Paranoid, ,Dry eyes, ,Dry mouth, ",,5,5 people reported 148 effects,,,"Anchorage, AK,Aspen, CO,Bend, OR,Astoria, OR,Central Point, OR,Dinosaur, CO,Durango, CO,Klamath Falls, OR,Los Angeles, CA,McMinnville, OR",Hybrid,4.4 ,Sour Strawberry,,,,15.5
--position:72.65970993333737%,,,,,,,15,,Mazar x Blueberry,Cherry Pie,"Cathedral City, CA,Southern CA, CA,Coalinga, CA,Desert Hot Springs, CA,Los Angeles, CA,Oakland, CA,Bay City, MI,Encino, CA,Needles, CA,San Diego, CA",Hybrid,4.7 ,Bloodwalker,,,,
--position:99.21433911297868%,,,,,,,20,,,,"Portland, OR,Salem, OR,Beaverton, OR,Roseburg, OR,Seattle, WA,Albany, OR,Bothell, WA,Boulder, CO,Chevy Chase, MD,Durant, OK",Sativa,4.5 ,Kona Gold,,,,16.5
--position:64.68912166273557%,,,,,,,25,,Timewreck,Space Queen,"Dinosaur, CO",Hybrid,4.8 ,Space Cream,,,,
--position:34.346204789632836%,,,,"64,%,58,%,58,%,41,%,35,%,47,%,23,%,23,%,17,%,11,%,23,%,17,%,11,%,5,%","Happy, ,Euphoric, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Insomnia, ,Depression, ,Pain, ,Headaches, ,Dry mouth, ,Dry eyes, ,Headache, ,Anxious, ",,24,17 people reported 104 effects,Lemon Alien Dawg,Starfighter,"Snohomish, WA,Bellingham, WA,Homewood, IL,Oklahoma City, OK",Hybrid,4.3 ,Mad Dawg,,,,17
,,,,,,,18,,,,"Alameda, CA,Los Angeles, CA",Indica,4.4 ,Special Kush #1,,,,
--position:6.750643012149288%,,,,"60,%,53,%,53,%,44,%,33,%,50,%,46,%,33,%,26,%,25,%,33,%,30,%,11,%,6,%,4,%","Relaxed, ,Euphoric, ,Sleepy, ,Happy, ,Hungry, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ",,87,63 people reported 581 effects,Querkle,Purple Urkle,"Arlington, WA,Baltimore, MD,Longview, WA,Lynnwood, WA,Ocean Shores, WA,Port Hadlock-Irondale, WA,Ritzville, WA,Rockville, MD,Seattle, WA",Indica,3.8 ,Deep Purple,,,,
--position:97.22532539063687%,,,,"53,%,50,%,46,%,46,%,42,%,57,%,42,%,34,%,30,%,23,%,42,%,34,%,11,%,11,%,3,%","Uplifted, ,Happy, ,Euphoric, ,Creative, ,Energetic, ,Pain, ,Stress, ,Muscle spasms, ,Depression, ,Anxiety, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Paranoid, ,Anxious, ",,34,26 people reported 237 effects,SAGE,OG Kush,"Reno, NV,Las Vegas, NV,Everett, WA,North Las Vegas, NV,Oklahoma City, OK,Puyallup, WA,Tacoma, WA",Hybrid,4.3 ,Kushage,"width:170%,width:114%,width:58%","Citrus,Peppery,Herbal","Limonene,Caryophyllene,Myrcene",26.5
--position:10.97629629504615%,,,,"73,%,58,%,58,%,47,%,41,%,44,%,44,%,41,%,32,%,23,%,23,%,11,%,8,%,2,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Tingly, ,Pain, ,Stress, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,51,34 people reported 294 effects,Tres Dawg,Purple Urkle,"Denver, CO,Lompoc, CA",Hybrid,4.5 ,Dawg's Waltz,,,,
--position:92.5142870063525%,,,,"70,%,70,%,47,%,41,%,35,%,47,%,35,%,23,%,17,%,17,%,23,%,23,%,11,%,11,%,5,%","Happy, ,Euphoric, ,Energetic, ,Hungry, ,Uplifted, ,Depression, ,Stress, ,Lack of appetite, ,Fatigue, ,Nausea, ,Dry eyes, ,Dry mouth, ,Anxious, ,Dizzy, ,Paranoid, ",,23,17 people reported 116 effects,Skunk No. 1,Haze,,Sativa,3.8 ,Jock Horror,,,,
,,,,,,,4,,,,"Beaverton, OR,Garfield Heights, OH,Hudson, Massachusetts,Kennebunk, ME,Roseburg, OR,Wilson, OK",Hybrid,4.8 ,Ethos Apex,,,,
--position:4.003663382785872%,,,,"105,%,68,%,57,%,57,%,42,%,36,%,21,%,15,%,15,%,10,%,26,%,15,%,5,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Hungry, ,Anxiety, ,ADD/ADHD, ,Arthritis, ,Fibromyalgia, ,Bipolar disorder, ,Dry mouth, ,Dry eyes, ,Paranoid, ",,26,19 people reported 128 effects,Alien Rift,Key Lime Pie,"Reno, NV,Denver, CO,Glendale, AZ,Louisville, CO,Phoenix, OR",Indica,4.7 ,Jawa Pie,,,,
,,,,,,,5,,,,"Bothell, WA,Seattle, WA,Southern CA, CA,Tulsa, OK,Blythe, CA,Bellingham, WA,Los Angeles, CA,Lynnwood, WA,Medford, OR,Puyallup, WA",Hybrid,5 ,Death By Cake OG,,,,
,,,,,,,23,,Medicine Man,White Rhino,"Los Angeles, CA,Anchorage, AK,Detroit, MI,Ellensburg, WA,Gaithersburg, MD,Camp Springs, MD,Cumberland, MD,El Sobrante, CA,Emeryville, CA,Fort Garland, CO",Indica,4.8 ,Hammerhead,,,,16.5
,,,,,,,10,,Berry White,GSC,"Bellingham, WA",Hybrid,4.6 ,White Girl,,,,
--position:91.32553208977848%,,,,"71,%,59,%,50,%,40,%,35,%,50,%,47,%,26,%,23,%,19,%,33,%,14,%,7,%,4,%,4,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Focused, ,Anxiety, ,Stress, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,70,42 people reported 321 effects,,,"Los Angeles, CA,Mesa, AZ,Phoenix, AZ,Southern CA, CA,Apache Junction, AZ,Arvada, CO,Bisbee, AZ,Chandler, AZ,Commerce City, CO,Parachute, CO",Hybrid,4.2 ,OGiesel,,,,
,,,,,,,7,,Gupta Kush,AK-47,"Oklahoma City, OK,Tulsa, OK,Thackerville, OK,Warr Acres, OK,Del City, OK,Bartlesville, OK,Ada, OK,El Reno, OK,Chickasha, OK,Glendale, AZ",Hybrid,4.3 ,Bootlegger,,,,
--position:74.41014883333038%,,,,"62,%,59,%,55,%,44,%,40,%,55,%,48,%,40,%,33,%,18,%,33,%,18,%,18,%,7,%,3,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Headaches, ,Dry eyes, ,Dry mouth, ,Headache, ,Anxious, ,Dizzy, ",,51,27 people reported 232 effects,Mazar x Blueberry,Fire OG,"Los Angeles, CA,Seattle, WA,Spokane, WA",Sativa,4.5 ,Firewalker OG,"width:170%,width:114%,width:58%","Herbal,Citrus,Peppery","Myrcene,Limonene,Caryophyllene",21
,,,,,,,27,,,,"Denver, CO,Arvada, CO,Aurora, CO,Colorado Springs, CO,Longmont, CO,Rifle, CO,Boulder, CO,Canon City, CO,Denver, Co,Dinosaur, Co",Sativa,4.7 ,Panama Punch,,,,
--position:86.41462537886471%,,,,"58,%,52,%,52,%,43,%,41,%,52,%,47,%,39,%,26,%,20,%,39,%,11,%,5,%,3,%,3,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Energetic, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,65,53 people reported 496 effects,,,"Brunswick, ME,Davis, CA,Denver, CO,Hallowell, ME,Kiezer, OR,Newport, ME,Portland, OR,San Francisco, CA",Hybrid,4.3 ,Strawberry Dream,,,,19.5
,,,,,,,5,,,,"Denver, CO,Westminster, CO,Albuquerque, NM,Anchorage, AK,Colorado Springs, CO,Modesto, CA,Niwot, CO,Pagosa Springs, CO,Portland, OR,Sherman Oaks, CA",Hybrid,4.2 ,Purple Reign,,,,
