calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:7.665211591542464%,,,,"64,%,53,%,52,%,47,%,37,%,40,%,36,%,32,%,30,%,22,%,39,%,22,%,10,%,7,%,4,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,< 30,3 - 6,7 - 9",3188,2254 people reported 17900 effects,,,"Silver Spring, MD,Portland, OR,Seattle, WA,Bellingham, WA,Ferndale, WA,Phoenix, AZ,Everson, WA,Denver, CO,Oak Harbor, WA,Oklahoma City, OK",Indica,4.2 ,Bubba Kush,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",16.5
--position:7.6234268148526905%,,Citrus Rush,High Five,"66,%,42,%,42,%,37,%,29,%,31,%,25,%,24,%,22,%,20,%,20,%,11,%,7,%,3,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,590,405 people reported 2660 effects,Face Off OG,OGKB,"Seattle, WA,Portland, OR,Phoenix, AZ,Oklahoma City, OK,Los Angeles, CA,Spokane, WA,Detroit, MI,Tulsa, OK,Vancouver, WA,San Francisco, CA",Indica,4.7 ,Do-Si-Dos,"width:170%,width:114%,width:58%","Citrus,Peppery,Floral","Limonene,Caryophyllene,Linalool",20.5
--position:92.43451704660859%,,,,"50,%,48,%,44,%,42,%,40,%,23,%,23,%,20,%,16,%,15,%,13,%,12,%,3,%,3,%,2,%","Happy, ,Uplifted, ,Focused, ,Energetic, ,Relaxed, ,Depression, ,Stress, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,408,300 people reported 1803 effects,Clementine,Purple Punch,"Silver Spring, MD,Seattle, WA,Portland, OR,Oklahoma City, OK,Tulsa, OK,Los Angeles, CA,Phoenix, AZ,Denver, CO,Vancouver, WA,San Francisco, CA",Hybrid,4.6 ,Mimosa,"width:170%,width:114%,width:58%","Herbal,Pine,Citrus","Myrcene,Pinene,Limonene",20.5
--position:12.05380471728379%,,Wipeout Express,California Grapefruit,"64,%,53,%,51,%,42,%,32,%,42,%,32,%,31,%,28,%,25,%,34,%,17,%,8,%,5,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Easy,< 30,3 - 6",3023,2104 people reported 16055 effects,Thai,Afghani,"Silver Spring, MD,Denver, CO,Shawnee, OK,Los Angeles, CA,Tulsa, OK,Oklahoma City, OK,Seattle, WA,Everett, WA,Phoenix, AZ,Las Vegas, NV",Indica,4.4 ,Northern Lights,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",16.5
--position:73.2155193121028%,,Paris XXX,Goat Head,"56,%,55,%,48,%,47,%,37,%,40,%,32,%,27,%,26,%,15,%,34,%,20,%,9,%,9,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ","Difficult,30 - 78,3 - 6,10 - 12",2500,1717 people reported 13208 effects,OG Kush,Sour Diesel,"Ferndale, WA,Seattle, WA,Everett, WA,Portland, OR,Oklahoma City, OK,Bellingham, WA,Eugene, OR,Mount Vernon, WA,Vancouver, WA,Oak Grove, OR",Hybrid,4.2 ,Headband,"width:170%,width:114%,width:58%","Citrus,Peppery,Herbal","Limonene,Caryophyllene,Myrcene",19
--position:42.05146447466559%,,High Noon Irish Cream,Bonkers,"70,%,65,%,54,%,50,%,29,%,34,%,29,%,26,%,23,%,19,%,23,%,14,%,5,%,3,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,512,357 people reported 2865 effects,Starfighter,GSC,"Portland, OR,Seattle, WA,Denver, CO,Everett, WA,Spokane, WA,Everson, WA,Phoenix, AZ,Eugene, OR,Bellingham, WA,Las Vegas, NV",Hybrid,4.6 ,Cookies and Cream,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",21
--position:6.618160875362522%,,Purple Aurora,Purple Killer,"61,%,56,%,55,%,48,%,39,%,45,%,38,%,37,%,36,%,24,%,43,%,27,%,10,%,10,%,5,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Headache, ","Moderate,< 30,1 - 3,7 - 9",2117,1553 people reported 13066 effects,Purple Afghani,Hindu Kush,"Seattle, WA,Portland, OR,Tulsa, OK,Salem, OR,Bellingham, WA,Phoenix, AZ,Corvallis, OR,Spokane, WA,Anacortes, WA,Chandler, AZ",Indica,4.2 ,Purple Kush,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",15.5
--position:41.02862247759081%,,White Dawg Fire OG,Pele's Fire OG,"55,%,54,%,51,%,39,%,29,%,36,%,27,%,26,%,25,%,23,%,32,%,21,%,9,%,6,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Hungry, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ","Difficult,30 - 78,3 - 6,10 - 12",1054,695 people reported 5281 effects,SFV OG Kush,OG Kush,"Portland, OR,Los Angeles, CA,Beaverton, OR,Las Vegas, NV,Eugene, OR,San Diego, CA,San Francisco, CA,Henderson, NV,Seattle, WA,Oklahoma City, OK",Hybrid,4.4 ,Fire OG,"width:170%,width:114%,width:58%","Herbal,Citrus,Peppery","Myrcene,Limonene,Caryophyllene",19
--position:16.410455322223516%,,GMO Kush,Han Solo Burger,"74,%,50,%,49,%,37,%,26,%,30,%,30,%,26,%,22,%,18,%,16,%,6,%,4,%,3,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Pain, ,Stress, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Anxious, ,Paranoid, ",,212,165 people reported 1169 effects,Chemdog,GSC,"Portland, OR,Phoenix, AZ,Eugene, OR,Ferndale, WA,Chandler, AZ,Salem, OR,Mesa, AZ,Seattle, WA,Medford, OR,Ann Arbor, MI",Indica,4.7 ,GMO Cookies,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",20.5
--position:48.75471755711516%,,,,"50,%,49,%,37,%,31,%,20,%,20,%,19,%,17,%,11,%,9,%,16,%,3,%,3,%,1,%,1,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Pain, ,Stress, ,Depression, ,Anxiety, ,Arthritis, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",,131,101 people reported 516 effects,,,"Seattle, WA,Portland, OR,Everett, WA,Las Vegas, NV,Phoenix, AZ,Los Angeles, CA,San Diego, CA,Bellingham, WA,Eugene, OR,Detroit, MI",Hybrid,4.7 ,Sundae Driver,,,,23
--position:43.90937725490281%,,Ultra Banana,Banana Diesel,"50,%,48,%,44,%,38,%,26,%,35,%,27,%,25,%,22,%,17,%,30,%,19,%,6,%,5,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,30 - 78,3 - 6,7 - 9",1049,744 people reported 5044 effects,Skunk Haze,Ghost OG,"Denver, CO,Seattle, WA,Ferndale, WA,Oklahoma City, OK,Tulsa, OK,Los Angeles, CA,Spokane, WA,Tacoma, WA,Tallahassee, FL,Tucson, AZ",Hybrid,4.2 ,Banana Kush,"width:170%,width:114%,width:58%","Citrus,Herbal,Peppery","Limonene,Myrcene,Caryophyllene",18.5
--position:34.224615976256445%,,Strawberry Blondie,Trueberry,"60,%,53,%,45,%,36,%,24,%,27,%,21,%,19,%,18,%,15,%,19,%,14,%,4,%,3,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,466,309 people reported 1909 effects,Bubble Gum,Banana Kush,"Silver Spring, MD,Everett, WA,Seattle, WA,Spokane, WA,Los Angeles, CA,Bellingham, WA,Las Vegas, NV,Portland, OR,San Diego, CA,San Francisco, CA",Hybrid,4.5 ,Strawberry Banana,"width:170%,width:114%,width:58%","Citrus,Herbal,Peppery","Limonene,Myrcene,Caryophyllene",20.5
